Year,Slug,Song,Tempo,Synth,Like
2013,stand-2013,Stand,1,false,2
2013,its-a-good-start-2013,It’s a Good Start,3,true,2
2013,joy-of-life-2013,Joy of Life,2,false,2
2013,look-up-2013,Look Up,3,true,2
2013,who-will-2013,Who Will,3,true,2
2013,little-things-2013,Little Things,3,false,2
2013,mountains-to-climb-2013,Mountains to Climb,2,false,2
2013,still-and-quiet-moments-2013,Still and Quiet Moments,1,false,2
2013,im-changed-2013,I’m Changed,1,false,2
2013,if-we-forget-ourselves-2013,If we forget ourselves,3,false,2
2013,well-be-there-2013,We’ll be there,2,false,2
2013,good-friends-2013,Good Friends,3,false,2
2013,wherever-you-go-2013,Wherever you go,2,true,2
2014,come-unto-christ-come-unto-christ-2014,Come unto Christ,1,false,2
2014,give-away-2014,Give Away,1,false,1
2014,say-yes-2014,Say Yes,3,false,2
2014,trust-him-2014,Trust Him,1,false,3
2014,we-are-one-2014,We are One,2,true,2
2014,wonderful-people-2014,Wonderful People,3,false,2
2014,youll-never-run-out-2014,You’ll never run out,2,true,2
2015,embark-embark-2015,Embark,3,true,3
2015,closer-2015,Closer,1,false,3
2015,show-them-2015,Show Them,2,false,3
2015,silent-2015,Silent,1,false,2
2015,fragile-2015,Fragile,2,false,3
2015,this-life-2015,This Life,3,true,3
2015,someone-he-can-count-one-2015,Someone He can count one,2,false,2
2015,good-to-be-alive-2015,Good to be Alive,2,false,3
2016,thats-how-itll-be-2016,that’s how it’ll be,2,false,3
2016,lift-your-eyes-2016,Lift your eyes,2,false,2
2024,disciple-of-christ-2024,Disciple of Christ,1,false,2
2024,diamond-2024,Diamond,3,true,2
2024,when-i-found-you-2024,When I found you,3,true,2
2024,truth-2024,Truth,2,true,2
2024,he-still-chose-me-2024,He still Chose Me,1,false,2
2023,sticks-and-stones-2023,sticks and stones,,true,2
2023,witness-2023,Witness,,false,2
